id,title,poster_url,year,duration,age_rating,star_rating,num_ratings,description,preprocessed_description
1,The Shawshank Redemption,"https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX280_CR0,3,280,414_.jpg",1994,2h 22m,R,9.3,2.9M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","course years , convicts form friendship , seeking consolation , eventually , redemption basic compassion ."
2,The Godfather,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY414_CR6,0,280,414_.jpg",1972,2h 55m,R,9.2,2M,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,aging patriarch organized crime dynasty transfers control clandestine empire reluctant son .
3,The Chaos Class,"https://m.media-amazon.com/images/M/MV5BMGRjOGJhNDctZWYyNi00YzE1LWIwMGQtNTI1MDU1OTNmZjhlXkEyXkFqcGdeQXVyMTA1MzE1MjA4._V1_QL75_UX280_CR0,3,280,414_.jpg",1975,1h 27m,R,9.2,43K,"Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows.","Lazy , uneducated students share close bond . live dormitory , plan latest pranks . new headmaster arrives , students naturally try overthrow . comic war nitwits follows ."
4,The Dark Knight,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX280_CR0,0,280,414_.jpg",2008,2h 32m,PG-13,9.0,2.9M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","menace known Joker wreaks havoc chaos people Gotham , Batman accept greatest psychological physical tests ability fight injustice ."
5,The Lord of the Rings: The Return of the King,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX280_CR0,0,280,414_.jpg",2003,3h 21m,PG-13,9.0,2M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Gandalf Aragorn lead World Men Sauron army draw gaze Frodo Sam approach Mount Doom Ring .
6,Schindler's List,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX280_CR0,3,280,414_.jpg",1993,3h 15m,R,9.0,1.5M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","German - occupied Poland World War II , industrialist Oskar Schindler gradually concerned Jewish workforce witnessing persecution Nazis ."
7,12 Angry Men,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX280_CR0,8,280,414_.jpg",1957,1h 36m,Approved,9.0,871K,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,jury New York City murder trial frustrated single member skeptical caution forces carefully consider evidence jumping hasty verdict .
8,The Godfather Part II,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY414_CR6,0,280,414_.jpg",1974,3h 22m,R,9.0,1.4M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","early life career Vito Corleone 1920s New York City portrayed , son , Michael , expands tightens grip family crime syndicate ."
9,CM101MMXI Fundamentals,"https://m.media-amazon.com/images/M/MV5BMjE0Njc3MDQ5MV5BMl5BanBnXkFtZTcwNzIwNTQ5OA@@._V1_QL75_UY414_CR5,0,280,414_.jpg",2013,2h 19m,R,9.0,47K,"The funny little details of everyday life; the simple things that makes us laugh. An unforgettable performance from Cem Yilmaz. Yilmaz captures the audience with his hilarious stories about relationships, humankind's struggle with the technology and professional life. Yilmaz proves us that a food delivery or even a funeral might be amusing when considered correctly.","funny little details everyday life ; simple things makes laugh . unforgettable performance Cem Yilmaz . Yilmaz captures audience hilarious stories relationships , humankind struggle technology professional life . Yilmaz proves food delivery funeral amusing considered correctly ."
10,The Lord of the Rings: The Fellowship of the Ring,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UX280_CR0,1,280,414_.jpg",2001,2h 58m,PG-13,8.9,2M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,meek Hobbit Shire companions set journey destroy powerful Ring save Middle - earth Dark Lord Sauron .
11,Pulp Fiction,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY414_CR2,0,280,414_.jpg",1994,2h 34m,R,8.9,2.2M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","lives mob hitmen , boxer , gangster wife , pair diner bandits intertwine tales violence redemption ."
12,12th Fail,"https://m.media-amazon.com/images/M/MV5BZDI4OTM1ZjMtOWQxMC00OTY5LTg3NjQtMjlhMWVjODFlYTY4XkEyXkFqcGdeQXVyMTYzMTU3Njgx._V1_QL75_UY414_CR18,0,280,414_.jpg",2023,2h 27m,R,8.9,119K,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,real - life story IPS Officer Manoj Kumar Sharma IRS Officer Shraddha Joshi .
13,O.J.: Made in America,"https://m.media-amazon.com/images/M/MV5BNGNmYmY3OTktMWM1Ni00NTU1LTk0ZjctMDcwYjViMjY0MTIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX280_CR0,0,280,414_.jpg",2016,7h 47m,TV-MA,8.9,22K,"A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation.","chronicle rise fall O.J. Simpson , high - profile murder trial exposed extent American racial tensions , revealing fractured divided nation ."
14,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,"https://m.media-amazon.com/images/M/MV5BODQyMTI4MTEtYWVjYy00NTM3LWFhYmUtZDNlZDVlZDAzY2M1XkEyXkFqcGdeQXVyMjU0ODQ5NTA@._V1_QL75_UX280_CR0,3,280,414_.jpg",2021,1h 27m,TV-MA,8.9,25K,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.,Tanjiro ventures south - southeast encounters cowardly young man named Zenitsu Agatsuma . fellow survivor Final Selection sparrow asks Tanjiro help line .
15,Mirror Game,"https://m.media-amazon.com/images/M/MV5BOTQzYjk2ZTYtM2FhNi00ODQ1LWI0YWYtZDVhMzRiN2ZlMzQ5XkEyXkFqcGdeQXVyMTE3MzIyMDM5._V1_QL75_UX280_CR0,12,280,414_.jpg",2016,2h 27m,TV-MA,8.9,30K,"A struggling actor becomes a professional impostor, hired to impersonate people for financial gain, but as he delves deeper into his work he becomes embroiled in trouble that threatens to unravel his life.","struggling actor professional impostor , hired impersonate people financial gain , delves deeper work embroiled trouble threatens unravel life ."
